Ticker,Proportion_Selected
ISRG,0.20526315789473684
COF,0.20445344129554655
GPN,0.20445344129554655
FE,0.20364372469635628
CPAY,0.20323886639676114
PSA,0.20283400809716598
GILD,0.20283400809716598
WEC,0.20283400809716598
F,0.2020242914979757
BXP,0.20161943319838058
CCI,0.20161943319838058
AWK,0.20121457489878541
BMY,0.20121457489878541
CLX,0.20121457489878541
HOLX,0.20080971659919028
HWM,0.20080971659919028
AAPL,0.20040485829959515
NWSA,0.20040485829959515
ADI,0.19919028340080971
HLT,0.19878542510121458
SPG,0.19878542510121458
CNP,0.19838056680161945
NWS,0.19838056680161945
ANSS,0.19797570850202428
UDR,0.19797570850202428
SJM,0.19757085020242915
ROST,0.19757085020242915
NI,0.19757085020242915
EVRG,0.19716599190283401
MAA,0.19716599190283401
